pc,pv,pm,pop_size,n_ger,run,best_fitness
0.5,0.9,0.05,200,200,4,291
0.5,0.9,0.05,200,200,5,291
0.5,0.9,0.05,200,200,6,291
0.5,0.9,0.05,200,200,7,291
0.5,0.9,0.05,200,200,8,291
0.5,0.9,0.05,200,200,9,291
0.5,0.9,0.1,100,100,0,331
0.5,0.9,0.1,100,100,1,366
0.5,0.9,0.1,100,100,2,406
0.5,0.9,0.1,100,100,3,319
0.5,0.9,0.1,100,100,4,307
0.5,0.9,0.1,100,100,5,395
0.5,0.9,0.1,100,100,6,343
0.5,0.9,0.1,100,100,7,329
0.5,0.9,0.1,100,100,8,327
0.5,0.9,0.1,100,100,9,331
0.5,0.9,0.1,100,200,0,291
0.5,0.9,0.1,100,200,1,299
0.5,0.9,0.1,100,200,2,291
0.5,0.9,0.1,100,200,3,311
0.5,0.9,0.1,100,200,4,291
0.5,0.9,0.1,100,200,5,323
0.5,0.9,0.1,100,200,6,291
0.5,0.9,0.1,100,200,7,295
0.5,0.9,0.1,100,200,8,321
0.5,0.9,0.1,100,200,9,291
0.5,0.9,0.1,200,100,0,365
0.5,0.9,0.1,200,100,1,402
0.5,0.9,0.1,200,100,2,311
0.5,0.9,0.1,200,100,3,342
0.5,0.9,0.1,200,100,4,327
0.5,0.9,0.1,200,100,5,303
0.5,0.9,0.1,200,100,6,363
0.5,0.9,0.1,200,100,7,410
0.5,0.9,0.1,200,100,8,291
0.5,0.9,0.1,200,100,9,393
0.5,0.9,0.1,200,200,0,291
0.5,0.9,0.1,200,200,1,299
0.5,0.9,0.1,200,200,2,299
0.5,0.9,0.1,200,200,3,339
0.5,0.9,0.1,200,200,4,307
0.5,0.9,0.1,200,200,5,307
0.5,0.9,0.1,200,200,6,291
0.5,0.9,0.1,200,200,7,291
0.5,0.9,0.1,200,200,8,313
0.5,0.9,0.1,200,200,9,317
0.7,0.5,0.01,100,100,0,524
0.7,0.5,0.01,100,100,1,522
0.7,0.5,0.01,100,100,2,491
0.7,0.5,0.01,100,100,3,521
0.7,0.5,0.01,100,100,4,544
0.7,0.5,0.01,100,100,5,521
0.7,0.5,0.01,100,100,6,539
0.7,0.5,0.01,100,100,7,468
0.7,0.5,0.01,100,100,8,541
0.7,0.5,0.01,100,100,9,503
0.7,0.5,0.01,100,200,0,540
0.7,0.5,0.01,100,200,1,534
0.7,0.5,0.01,100,200,2,494
0.7,0.5,0.01,100,200,3,499
0.7,0.5,0.01,100,200,4,528
0.7,0.5,0.01,100,200,5,533
0.7,0.5,0.01,100,200,6,458
0.7,0.5,0.01,100,200,7,527
0.7,0.5,0.01,100,200,8,539
0.7,0.5,0.01,100,200,9,530
0.7,0.5,0.01,200,100,0,527
0.7,0.5,0.01,200,100,1,491
0.7,0.5,0.01,200,100,2,461
0.7,0.5,0.01,200,100,3,462
0.7,0.5,0.01,200,100,4,502
0.7,0.5,0.01,200,100,5,457
0.7,0.5,0.01,200,100,6,543
0.7,0.5,0.01,200,100,7,473
0.7,0.5,0.01,200,100,8,507
0.7,0.5,0.01,200,100,9,480
0.7,0.5,0.01,200,200,0,450
0.7,0.5,0.01,200,200,1,491
0.7,0.5,0.01,200,200,2,466
0.7,0.5,0.01,200,200,3,504
0.7,0.5,0.01,200,200,4,511
0.7,0.5,0.01,200,200,5,515
0.7,0.5,0.01,200,200,6,509
0.7,0.5,0.01,200,200,7,502
0.7,0.5,0.01,200,200,8,500
0.7,0.5,0.01,200,200,9,505
0.7,0.5,0.05,100,100,0,510
0.7,0.5,0.05,100,100,1,522
0.7,0.5,0.05,100,100,2,465
0.7,0.5,0.05,100,100,3,439
0.7,0.5,0.05,100,100,4,542
0.7,0.5,0.05,100,100,5,548
0.7,0.5,0.05,100,100,6,542
0.7,0.5,0.05,100,100,7,554
0.7,0.5,0.05,100,100,8,487
0.7,0.5,0.05,100,100,9,502
0.7,0.5,0.05,100,200,0,569
0.7,0.5,0.05,100,200,1,531
0.7,0.5,0.05,100,200,2,478
0.7,0.5,0.05,100,200,3,453
0.7,0.5,0.05,100,200,4,553
0.7,0.5,0.05,100,200,5,517
0.7,0.5,0.05,100,200,6,499
0.7,0.5,0.05,100,200,7,497
0.7,0.5,0.05,100,200,8,508
0.7,0.5,0.05,100,200,9,533
0.7,0.5,0.05,200,100,0,466
0.7,0.5,0.05,200,100,1,507
0.7,0.5,0.05,200,100,2,530
0.7,0.5,0.05,200,100,3,491
0.7,0.5,0.05,200,100,4,493
0.7,0.5,0.05,200,100,5,510
0.7,0.5,0.05,200,100,6,512
0.7,0.5,0.05,200,100,7,521
0.7,0.5,0.05,200,100,8,505
0.7,0.5,0.05,200,100,9,501
0.7,0.5,0.05,200,200,0,501
0.7,0.5,0.05,200,200,1,460
0.7,0.5,0.05,200,200,2,521
0.7,0.5,0.05,200,200,3,495
0.7,0.5,0.05,200,200,4,522
0.7,0.5,0.05,200,200,5,542
0.7,0.5,0.05,200,200,6,498
0.7,0.5,0.05,200,200,7,480
0.7,0.5,0.05,200,200,8,519
0.7,0.5,0.05,200,200,9,534
0.7,0.5,0.1,100,100,0,502
0.7,0.5,0.1,100,100,1,507
0.7,0.5,0.1,100,100,2,553
0.7,0.5,0.1,100,100,3,427
0.7,0.5,0.1,100,100,4,521
0.7,0.5,0.1,100,100,5,544
0.7,0.5,0.1,100,100,6,515
